SourceFile,../tests/test_files/20211201PEV_2795-Edit.JPG
ExifTool:ExifToolVersion,12.51
File:FileName,20211201PEV_2795-Edit.JPG
File:Directory,../tests/test_files
File:FileSize,246120
File:FileModifyDate,2024:04:09 18:08:25+03:00
File:FileAccessDate,2024:04:21 16:41:50+03:00
File:FileInodeChangeDate,2024:04:18 15:07:29+03:00
File:FilePermissions,100644
File:FileType,JPEG
File:FileTypeExtension,JPG
File:MIMEType,image/jpeg
File:CurrentIPTCDigest,521f0a471cd7ee7870876c5a67d49c29
File:ImageWidth,800
File:ImageHeight,532
File:EncodingProcess,0
File:BitsPerSample,8
File:ColorComponents,3
File:YCbCrSubSampling,1 1
JFIF:JFIFVersion,1 1
JFIF:ResolutionUnit,1
JFIF:XResolution,200
JFIF:YResolution,200
XMP:XMPToolkit,XMP Core 4.4.0-Exiv2
XMP:CreatorTool,Adobe Photoshop Lightroom Classic 11.5 (Macintosh)
XMP:ModifyDate,2023:04:25 23:28:39+03:00
XMP:MetadataDate,2023:04:25 23:28:39+03:00
XMP:CreateDate,2021:12:01 09:54:17.39
XMP:Rating,0
XMP:Label,Blue
XMP:Format,image/jpeg
XMP:DocumentID,xmp.did:98597521-b607-42e4-b6e4-b0d06bcc5271
XMP:PreservedFileName,20211201PEV_2795.NEF
XMP:OriginalDocumentID,E744E624E59F02EC25A8B372DAEB48A2
XMP:InstanceID,xmp.iid:98597521-b607-42e4-b6e4-b0d06bcc5271
XMP:City,Saint Petersburg
XMP:Country,Russia
XMP:Credit,Pavlenko Evgeniy
XMP:CaptionWriter,Pavlenko Evgeniy
XMP:DateCreated,2021:12:01 09:54:17.39
XMP:Marked,True
XMP:WebStatement,www.pavlenko-e.com
XMP:ColorClass,0
XMP:Tagged,False
XMP:Prefs,0:0:0:-00001
XMP:PMVersion,PM6
XMP:Description,"Депутат партии ""Единая Россия"" Елена Рахова перед заседанием парламента."
XMP:Rights,Pavlenko Evgeniy
XMP:Creator,Eugene Pavlenko
XMP:DerivedFromInstanceID,xmp.iid:42c5f564-5f87-48ff-8eb0-a05dd79bf383
XMP:DerivedFromDocumentID,xmp.did:42c5f564-5f87-48ff-8eb0-a05dd79bf383
XMP:DerivedFromOriginalDocumentID,E744E624E59F02EC25A8B372DAEB48A2
XMP:CreatorWorkTelephone,+7-981-713-97-43
XMP:CreatorWorkEmail,pavlenko.evgeniy@gmail.com
ICC_Profile:ProfileCMMType,Lino
ICC_Profile:ProfileVersion,528
ICC_Profile:ProfileClass,mntr
ICC_Profile:ColorSpaceData,RGB 
ICC_Profile:ProfileConnectionSpace,XYZ 
ICC_Profile:ProfileDateTime,1998:02:09 06:49:00
ICC_Profile:ProfileFileSignature,acsp
ICC_Profile:PrimaryPlatform,MSFT
ICC_Profile:CMMFlags,0
ICC_Profile:DeviceManufacturer,IEC 
ICC_Profile:DeviceModel,sRGB
ICC_Profile:DeviceAttributes,0 0
ICC_Profile:RenderingIntent,0
ICC_Profile:ConnectionSpaceIlluminant,0.9642 1 0.82491
ICC_Profile:ProfileCreator,HP  
ICC_Profile:ProfileID,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ICC_Profile:ProfileCopyright,Copyright (c) 1998 Hewlett-Packard Company
ICC_Profile:ProfileDescription,sRGB IEC61966-2.1
ICC_Profile:MediaWhitePoint,0.95045 1 1.08905
ICC_Profile:MediaBlackPoint,0 0 0
ICC_Profile:RedMatrixColumn,0.43607 0.22249 0.01392
ICC_Profile:GreenMatrixColumn,0.38515 0.71687 0.09708
ICC_Profile:BlueMatrixColumn,0.14307 0.06061 0.7141
ICC_Profile:DeviceMfgDesc,IEC http://www.iec.ch
ICC_Profile:DeviceModelDesc,IEC 61966-2.1 Default RGB colour space - sRGB
